S. No.,,State/UT,Persons Arrested - IPC,Persons Arrested - SLL
1,,Andhra Pradesh,155608,42481
2,,Arunachal Pradesh,2864,249
3,,Assam,115523,6300
4,,Bihar,233536,35883
5,,Chhattisgarh,69305,52707
6,,Goa,2794,1233
7,,Gujarat,198407,343419
8,,Haryana,79748,38851
9,,Himachal Pradesh,18088,5049
10,,Jammu & Kashmir,36255,2982
11,,Jharkhand,36483,8636
12,,Karnataka,172918,73228
13,,Kerala,299307,471456
14,,Madhya Pradesh,389382,144469
15,,Maharashtra,327965,208212
16,,Manipur,1464,930
17,,Meghalaya,2112,223
18,,Mizoram,2704,424
19,,Nagaland,1143,656
20,,Odisha,98448,30232
21,,Punjab,44037,21688
22,,Rajasthan,172990,91883
23,,Sikkim,831,269
24,,Tamil Nadu,287033,324938
25,,Telangana,127300,15845
26,,Tripura,4554,255
27,,Uttar Pradesh,566208,417707
28,,Uttarakhand,10278,5848
29,,West Bengal,178051,30744
Total (States),,Total (States),3635336,2376797
30,,A & N Islands,751,2061
31,,Chandigarh,2822,1532
32,,D&N Haveli,373,21
33,,Daman & Diu,382,59
34,,Delhi,93168,11138
35,,Lakshadweep,13,51
36,,Puducherry,5025,978
Total (UTs),,Total (UTs),102534,15840
Total (All India),,Total (All India),3737870,2392637
